GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Meal plan app,com.ingredients_service.controller,IngredientController,0,53,0,0,0,21,0,6,0,6
Meal plan app,com.ingredients_service.enums,Category,0,93,0,0,0,16,0,1,0,1
Meal plan app,com.ingredients_service.dto,IngredientDTO,0,58,0,0,0,21,0,11,0,11
Meal plan app,com.ingredients_service.dto,ErrorDto,0,26,0,0,0,12,0,6,0,6
Meal plan app,com.ingredients_service.service,IngredientService,7,88,1,1,1,21,1,8,0,8
Meal plan app,com.ingredients_service.config,GlobalExceptionHandler,20,34,0,0,3,9,2,3,2,3
Meal plan app,com.ingredients_service.config,SecurityConfig,0,59,0,0,0,11,0,4,0,4
Meal plan app,com.ingredients_service.config,CorsFilter,1,35,0,0,1,11,1,3,1,3
Meal plan app,com.ingredients_service,IngredientsServiceApplication,5,3,0,0,2,1,1,1,1,1
Meal plan app,com.ingredients_service.entity,IngredientEntity,23,42,0,0,11,13,6,7,6,7
